seq,owner_id,owner_login,repo_id,repo_name,creator_user_id,creator_user_login,recipient_user_id,recipient_user_login,type,created_at,source_context_url
98,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,6478783,sankypanhale,content,2020-07-29T16:25:03Z,https://github.com/iluwatar/java-design-patterns/pull/1427
99,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,14350274,prafful1,content,2020-07-29T16:26:38Z,https://github.com/iluwatar/java-design-patterns/pull/1428
100,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,3254609,pnowy,code,2020-07-29T16:28:19Z,https://github.com/iluwatar/java-design-patterns/pull/1429
101,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,86007,lbroman,code,2020-07-29T16:29:56Z,https://github.com/iluwatar/java-design-patterns/pull/1430
102,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,110982,kaiwinter,code,2020-07-29T16:31:36Z,https://github.com/iluwatar/java-design-patterns/pull/1431
103,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,22243493,jjjimenez100,code,2020-07-29T16:33:18Z,https://github.com/iluwatar/java-design-patterns/pull/1432
104,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,5390492,dzmitryh,code,2020-07-29T16:34:59Z,https://github.com/iluwatar/java-design-patterns/pull/1433
105,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,9342724,christophercolumbusdog,code,2020-07-29T16:36:36Z,https://github.com/iluwatar/java-design-patterns/pull/1434
106,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,10249255,anthonycampbell,code,2020-07-29T16:38:23Z,https://github.com/iluwatar/java-design-patterns/pull/1435
107,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,7372215,amogozov,code,2020-07-29T16:40:01Z,https://github.com/iluwatar/java-design-patterns/pull/1436
108,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,5720977,alexsomai,code,2020-07-29T16:41:48Z,https://github.com/iluwatar/java-design-patterns/pull/1437
109,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,26136934,mavdbussche,code,2020-07-29T16:43:27Z,https://github.com/iluwatar/java-design-patterns/pull/1438
110,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,22811531,harshrajsinh,code,2020-07-29T16:45:07Z,https://github.com/iluwatar/java-design-patterns/pull/1439
111,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,1685953,deathnerd,code,2020-07-29T16:47:29Z,https://github.com/iluwatar/java-design-patterns/pull/1440
112,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,6295975,anurag870,code,2020-07-29T16:49:21Z,https://github.com/iluwatar/java-design-patterns/pull/1441
113,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,4599623,amarnath510,code,2020-07-29T16:51:04Z,https://github.com/iluwatar/java-design-patterns/pull/1442
114,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,2184241,iampramod,review,2020-07-29T16:53:14Z,https://github.com/iluwatar/java-design-patterns/pull/1443
115,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,1641063,trautonen,code,2020-07-29T16:59:41Z,https://github.com/iluwatar/java-design-patterns/pull/1445
116,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,1595733,yorlov,code,2020-07-29T17:04:34Z,https://github.com/iluwatar/java-design-patterns/pull/1446
117,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,7676016,varunu28,code,2020-07-29T17:06:02Z,https://github.com/iluwatar/java-design-patterns/pull/1447
118,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,25523604,paladitya,code,2020-07-29T17:07:30Z,https://github.com/iluwatar/java-design-patterns/pull/1448
119,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,23739158,grzesiekkedzior,code,2020-07-29T17:08:48Z,https://github.com/iluwatar/java-design-patterns/pull/1449
120,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,51107434,sivasubramanim,code,2020-07-29T17:11:52Z,https://github.com/iluwatar/java-design-patterns/pull/1450
121,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,99457,d4gg4d,code,2020-07-29T17:13:25Z,https://github.com/iluwatar/java-design-patterns/pull/1451
122,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,557751,vertti,code,2020-07-29T17:14:42Z,https://github.com/iluwatar/java-design-patterns/pull/1452
123,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,2302947,bobo1239,content,2020-07-29T17:16:55Z,https://github.com/iluwatar/java-design-patterns/pull/1453
124,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,10779515,jahhein,content,2020-07-29T17:18:16Z,https://github.com/iluwatar/java-design-patterns/pull/1454
125,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,14842151,iamrichardjones,content,2020-07-29T17:19:48Z,https://github.com/iluwatar/java-design-patterns/pull/1455
126,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,22792183,rachelcarmena,content,2020-07-29T17:21:07Z,https://github.com/iluwatar/java-design-patterns/pull/1456
127,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,456426,webpro,content,2020-07-29T17:24:02Z,https://github.com/iluwatar/java-design-patterns/pull/1458
128,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,7418012,hbothra15,design,2020-07-29T17:42:46Z,https://github.com/iluwatar/java-design-patterns/pull/1459
129,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,21277644,xiaod-dev,translation,2020-07-29T18:03:30Z,https://github.com/iluwatar/java-design-patterns/pull/1460
130,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,6307904,charlesfinley,code,2020-08-01T07:42:45Z,https://github.com/iluwatar/java-design-patterns/pull/1464
131,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,21033516,manans77,review,2020-08-01T08:08:06Z,https://github.com/iluwatar/java-design-patterns/pull/1465
132,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,15331971,nishant,code,2020-08-01T08:46:29Z,https://github.com/iluwatar/java-design-patterns/pull/1466
133,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,5496024,raja-peeyush-kumar-singh,code,2020-08-01T09:49:06Z,https://github.com/iluwatar/java-design-patterns/pull/1467
